					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
High	Trial     2	A3	0:26:00-0:27:00	In Arena	0.644599	7	0.28	0	0	3	59.48	121.279	75.1186	3031.99	0	1
High	Trial     2	A3	0:27:00-0:28:00	In Arena	0.390986	0	0	0	0	1	60	126.352	89.7243	3158.79	0	0
High	Trial     2	A3	0:28:00-0:29:00	In Arena	0.544482	6	0.24	0	0	2	59.56	125.004	85.0672	3125.11	0	0
High	Trial     2	A3	0:29:00-0:30:00	In Arena	1.19584	8	0.4	1	0.12	5	59.4	119.931	66.5604	2998.26	6	6
High	Trial     2	A3	0:30:00-0:31:00	In Arena	1.35586	37	1.68	1	0.2	13	57.24	117.956	51.8591	2948.91	6	2
High	Trial     2	A3	0:31:00-0:32:00	In Arena	0.750851	0	0	0	0	1	60	120.461	61.3484	3011.53	0	0
High	Trial     2	A3	0:32:00-0:33:00	In Arena	0.798989	0	0	0	0	1	60	119.874	60.0092	2996.86	0	0
High	Trial     2	A3	0:33:00-0:34:00	In Arena	0.84153	0	0	0	0	1	60	119.745	50.7625	2993.63	0	0
High	Trial     2	A3	0:34:00-0:35:00	In Arena	0.929661	0	0	0	0	1	60	121.272	48.3866	3031.81	0	0
High	Trial     2	A3	0:35:00-0:36:00	In Arena	17.7138	10	0.84	2	0.48	2	0.32	111.954	13.1371	2798.86	0	1
High	Trial     2	A3	0:36:00-0:37:00	In Arena	NA	0	0	0	0	1	0.16	NA	NA	NA	0	0
High	Trial     2	A3	0:44:00-0:45:00	In Arena	1.6185	29	1.28	1	0.16	2	0.2	117.807	50.2141	2945.17	0	0
High	Trial     2	B3	Start-0:01:00	In Arena	3.41823	96	4.04	2	0.24	47	53.24	120.675	25.2968	3016.87	6	18
High	Trial     2	B3	0:01:00-0:02:00	In Arena	2.21984	55	2.84	5	0.76	12	55.24	116.514	44.0176	2912.86	4	2
High	Trial     2	B3	0:02:00-0:03:00	In Arena	2.37634	51	3.28	6	1.32	9	54.92	111.805	45.898	2795.13	1	2
High	Trial     2	B3	0:03:00-0:04:00	In Arena	2.38038	76	3.96	9	1.24	15	53.28	108.031	46.0422	2700.77	2	1
High	Trial     2	B3	0:04:00-0:05:00	In Arena	1.72374	34	2.12	5	0.84	8	56.76	111.507	59.471	2787.67	1	0
High	Trial     2	B3	0:05:00-0:06:00	In Arena	1.75757	26	1.88	4	0.92	7	57.2	112.959	52.0822	2823.99	1	0
High	Trial     2	B3	0:06:00-0:07:00	In Arena	2.34692	69	3.88	8	1.28	15	53.76	107.449	42.1553	2686.24	2	2
High	Trial     2	B3	0:07:00-0:08:00	In Arena	1.29755	17	1.36	4	0.68	5	57.92	113.745	60.0711	2843.63	0	0
High	Trial     2	B3	0:08:00-0:09:00	In Arena	2.23067	57	3.48	6	1.32	18	54.56	110.291	50.2557	2757.26	3	1
High	Trial     2	B3	0:09:00-0:10:00	In Arena	1.15009	22	1.2	3	0.44	5	57.96	114.53	61.5251	2863.25	1	0
High	Trial     2	B3	0:10:00-0:11:00	In Arena	0.719007	0	0	0	0	1	60	120.114	62.2893	3002.85	0	0
High	Trial     2	B3	0:11:00-0:12:00	In Arena	1.27674	39	1.56	0	0	14	57.24	113.54	51.6244	2838.51	0	1
High	Trial     2	B3	0:12:00-0:13:00	In Arena	0.932459	5	0.28	1	0.08	2	59.52	120.284	53.6376	3007.11	0	0
High	Trial     2	B3	0:13:00-0:14:00	In Arena	0.724291	0	0	0	0	2	59.96	117.433	56.9191	2935.83	0	0
High	Trial     2	B3	0:14:00-0:15:00	In Arena	0.929936	10	0.52	1	0.16	2	59.12	117.661	58.7597	2941.53	0	0
High	Trial     2	B3	0:15:00-0:16:00	In Arena	8.46906	517	22.72	15	2.44	69	18.08	80.0011	8.9041	2000.03	9	12
High	Trial     2	B3	0:16:00-0:17:00	In Arena	5.77712	374	15.88	7	1.04	81	31.04	90.16	15.9129	2254	15	13
High	Trial     2	B3	0:17:00-0:18:00	In Arena	6.17031	410	17.44	7	1.16	65	27.68	88.3749	14.4672	2209.37	13	11
High	Trial     2	B3	0:18:00-0:19:00	In Arena	5.56952	395	16.72	5	1	75	29.04	83.2083	16.8779	2080.21	4	8
High	Trial     2	B3	0:19:00-0:20:00	In Arena	5.91382	343	15.72	12	2.2	55	32.04	88.391	19.2751	2209.78	14	9
High	Trial     2	B3	0:20:00-0:21:00	In Arena	2.31219	85	3.68	5	0.44	20	53.16	104.045	42.1766	2601.11	0	2
High	Trial     2	B3	0:21:00-0:22:00	In Arena	1.84215	40	2.4	5	0.88	9	56.16	112.703	54.2109	2817.58	4	1
High	Trial     2	B3	0:22:00-0:23:00	In Arena	1.63598	27	1.8	6	0.92	8	57.24	115.288	56.6664	2882.2	2	1
High	Trial     2	B3	0:23:00-0:24:00	In Arena	2.77384	96	5.04	10	1.28	22	51.56	106.612	41.9356	2665.3	2	2
High	Trial     2	B3	0:24:00-0:25:00	In Arena	1.29613	27	1.28	1	0.2	6	57.64	110.733	55.6119	2768.33	0	3
High	Trial     2	B3	0:25:00-0:26:00	In Arena	2.5822	69	4.2	6	1.68	15	53.4	108.939	47.7696	2723.48	4	1
High	Trial     2	B3	0:26:00-0:27:00	In Arena	2.37929	58	3.8	8	1.52	15	54.24	112.546	51.8063	2813.66	3	2
High	Trial     2	B3	0:27:00-0:28:00	In Arena	2.42048	46	3.4	6	1.64	11	54.96	112.468	46.5111	2811.7	5	3
High	Trial     2	B3	0:28:00-0:29:00	In Arena	1.38168	29	1.56	3	0.48	7	57.44	115.265	53.3017	2881.63	1	1
High	Trial     2	B3	0:29:00-0:30:00	In Arena	1.08789	7	0.84	2	0.6	3	58.96	120.633	62.5542	3015.83	0	0
High	Trial     2	B3	0:30:00-0:31:00	In Arena	6.39931	347	15.84	17	2.4	53	31.36	93.4022	20.1113	2335.05	5	10
High	Trial     2	B3	0:31:00-0:32:00	In Arena	7.09117	486	20.68	7	1.4	48	21.04	76.0684	12.5127	1901.71	5	6
High	Trial     2	B3	0:32:00-0:33:00	In Arena	6.91377	441	19.2	7	1.72	58	24.44	80.4724	12.7397	2011.81	6	5
High	Trial     2	B3	0:33:00-0:34:00	In Arena	7.14774	473	20.36	6	1.52	81	22	78.1137	9.2687	1952.84	10	7
High	Trial     2	B3	0:34:00-0:35:00	In Arena	7.9133	519	22.68	10	2.16	59	17.84	71.4017	10.2809	1785.04	8	6
High	Trial     2	B3	0:35:00-0:36:00	In Arena	3.96613	182	7.68	4	0.44	63	46.56	108.795	27.7506	2719.88	10	22
High	Trial     2	B3	0:36:00-0:37:00	In Arena	2.18222	62	3.04	3	0.64	14	54.68	110.696	48.6762	2767.39	1	3
High	Trial     2	B3	0:37:00-0:38:00	In Arena	2.2593	79	3.68	5	0.64	24	53.68	108.017	46.4993	2700.43	2	3
High	Trial     2	B3	0:38:00-0:39:00	In Arena	1.52996	38	2	3	0.56	9	56.72	113.655	51.1007	2841.37	1	2
High	Trial     2	B3	0:39:00-0:40:00	In Arena	2.27277	48	3.36	7	1.64	11	54.92	106.213	54.0048	2655.32	1	1
High	Trial     2	B3	0:40:00-0:41:00	In Arena	3.22212	95	5.64	12	2.08	17	51.04	102.096	40.0113	2552.4	4	0
High	Trial     2	B3	0:41:00-0:42:00	In Arena	3.63369	123	6.8	11	2.12	26	49.04	107.143	40.8327	2678.57	5	2
High	Trial     2	B3	0:42:00-0:43:00	In Arena	3.48944	120	6.36	12	1.84	22	49.36	102.043	39.9454	2551.07	2	5
High	Trial     2	B3	0:43:00-0:44:00	In Arena	3.40832	106	6	12	2	24	50.24	101.706	36.0807	2542.65	5	7
High	Trial     2	B3	0:44:00-0:45:00	In Arena	3.16886	86	5.32	13	2.12	14	47.56	104.1	42.2672	2602.51	1	2
High	Trial     3	A1	Start-0:01:00	In Arena	1.81441	0	0	0	0	3	0.84	NA	NA	NA	0	0
High	Trial     3	A1	0:03:00-0:04:00	In Arena	1.78145	18	1.52	3	0.88	10	54.16	117.092	60.2712	2927.29	3	4
High	Trial     3	A1	0:04:00-0:05:00	In Arena	0.601962	0	0	0	0	1	60	121.763	65.2919	3044.08	0	0
High	Trial     3	A1	0:05:00-0:06:00	In Arena	0.581232	0	0	0	0	1	60	123.522	72.1437	3088.04	0	0
High	Trial     3	A1	0:06:00-0:07:00	In Arena	0.753441	4	0.4	1	0.24	2	59.44	118.742	69.5953	2968.55	0	0
High	Trial     3	A1	0:07:00-0:08:00	In Arena	0.589684	0	0	0	0	3	59.88	121.433	66.1639	3035.83	0	0
High	Trial     3	A1	0:08:00-0:09:00	In Arena	0.905855	4	0.4	1	0.28	2	59.44	119.066	60.0848	2976.64	0	0
High	Trial     3	A1	0:09:00-0:10:00	In Arena	0.683124	0	0	0	0	1	60	120.481	58.9135	3012.03	0	0
High	Trial     3	A1	0:10:00-0:11:00	In Arena	1.85486	38	2.4	4	0.96	11	56.16	116.238	49.9048	2905.96	0	5
High	Trial     3	A1	0:11:00-0:12:00	In Arena	2.30591	59	2.6	3	0.32	20	55.44	116.038	40.8503	2900.96	8	7
High	Trial     3	A1	0:12:00-0:13:00	In Arena	1.74172	0	0	0	0	1	60	118.027	38.3532	2950.68	4	3
High	Trial     3	A1	0:13:00-0:14:00	In Arena	1.74543	17	0.88	1	0.24	8	58.56	117.195	35.6589	2929.88	2	1
High	Trial     3	A1	0:14:00-0:15:00	In Arena	0.940822	0	0	0	0	1	60	120.27	45.8055	3006.75	0	0
High	Trial     3	A1	0:15:00-0:16:00	In Arena	8.29459	336	17.88	36	5.16	32	29.28	87.7962	18.3305	2194.91	13	6
High	Trial     3	A1	0:16:00-0:17:00	In Arena	5.81377	263	13	16	2.72	54	37.48	101.219	20.113	2530.47	16	15
High	Trial     3	A1	0:17:00-0:18:00	In Arena	4.40238	148	8.32	14	2.56	15	46.16	102.363	35.0076	2559.09	3	6
High	Trial     3	A1	0:18:00-0:19:00	In Arena	5.31809	226	11.32	20	2.76	45	40.64	104.957	23.3965	2623.92	10	16
High	Trial     3	A1	0:19:00-0:20:00	In Arena	5.70453	327	14.28	11	1.52	47	33.6	102.215	24.4015	2555.38	22	17
High	Trial     3	A1	0:20:00-0:21:00	In Arena	3.32707	142	6.64	8	1.08	23	48.16	112.453	40.1772	2811.33	8	9
High	Trial     3	A1	0:21:00-0:22:00	In Arena	0.881227	0	0	0	0	1	60	118.457	53.5525	2961.42	0	2
High	Trial     3	A1	0:22:00-0:23:00	In Arena	0.699554	0	0	0	0	1	60	119.006	65.6892	2975.15	0	0
High	Trial     3	A1	0:23:00-0:24:00	In Arena	1.16191	8	0.4	1	0.08	3	59.32	116.766	46.6796	2919.15	0	2
High	Trial     3	A1	0:24:00-0:25:00	In Arena	1.20374	0	0	0	0	1	60	117.503	45.1826	2937.57	0	1
High	Trial     3	A1	0:25:00-0:26:00	In Arena	1.02769	8	0.48	2	0.2	3	59.24	118.08	53.3582	2952.01	1	3
High	Trial     3	A1	0:26:00-0:27:00	In Arena	0.609161	0	0	0	0	1	60	119.779	66.3293	2994.48	0	0
High	Trial     3	A1	0:27:00-0:28:00	In Arena	0.591	0	0	0	0	1	60	118.168	67.0462	2954.21	0	0
High	Trial     3	A1	0:28:00-0:29:00	In Arena	0.654507	0	0	0	0	1	60	118.191	57.7442	2954.76	0	0
High	Trial     3	A1	0:29:00-0:30:00	In Arena	2.6998	89	4.88	9	1.52	26	52.24	105.418	42.8273	2635.45	2	2
High	Trial     3	A1	0:30:00-0:31:00	In Arena	7.47689	425	19.48	15	2.76	53	24.64	82.6613	11.0808	2066.53	1	7
High	Trial     3	A1	0:31:00-0:32:00	In Arena	9.73371	511	24.84	29	5.2	61	16.32	88.4015	8.31727	2210.04	12	14
High	Trial     3	A1	0:32:00-0:33:00	In Arena	8.53039	543	23.92	9	2.36	87	15.96	111.388	8.75579	2784.71	33	52
High	Trial     3	A1	0:33:00-0:34:00	In Arena	7.97201	451	21.08	23	3.52	71	22.44	94.1882	10.1275	2354.7	18	14
High	Trial     3	A1	0:34:00-0:35:00	In Arena	6.72424	418	18.16	10	1.72	79	26.88	101.485	11.7411	2537.12	21	29
High	Trial     3	A1	0:35:00-0:36:00	In Arena	3.73515	173	7.68	11	1.04	50	46.56	103.142	30.8589	2578.55	14	12
High	Trial     3	A1	0:36:00-0:37:00	In Arena	2.90028	109	5.48	8	1.32	36	51.12	112.697	48.6351	2817.44	11	10
High	Trial     3	A1	0:37:00-0:38:00	In Arena	1.12614	30	1.44	2	0.32	8	57.48	120.683	60.3251	3017.08	2	1
High	Trial     3	A1	0:38:00-0:39:00	In Arena	2.04638	79	3.48	2	0.36	26	53.8	115.038	43.1694	2875.95	9	11
High	Trial     3	A1	0:39:00-0:40:00	In Arena	1.73907	30	1.88	4	0.72	15	57.24	114.379	50.7547	2859.48	2	8
High	Trial     3	A1	0:40:00-0:41:00	In Arena	1.36168	22	1.52	3	0.64	7	57.64	114.326	59.4514	2858.15	4	1
High	Trial     3	A1	0:41:00-0:42:00	In Arena	1.90613	46	2.76	6	1.08	9	55.64	111.575	55.243	2789.37	2	0
High	Trial     3	A1	0:42:00-0:43:00	In Arena	1.46199	28	1.76	4	0.72	7	57.24	111.685	56.8053	2792.13	1	0
High	Trial     3	A1	0:43:00-0:44:00	In Arena	2.17529	60	3.4	6	1.12	15	54.6	110.157	47.7113	2753.92	3	1
High	Trial     3	A1	0:44:00-0:45:00	In Arena	2.42122	55	3.16	6	1.12	13	54.96	98.7186	31.7012	2467.97	4	1
High	Trial     3	B4	Start-0:01:00	In Arena	3.49901	160	6.4	0	0	60	48.24	112.614	19.9558	2815.36	29	25
High	Trial     3	B4	0:01:00-0:02:00	In Arena	4.54616	337	13.48	0	0	126	36.08	117.71	19.635	2942.76	29	58
High	Trial     3	B4	0:02:00-0:03:00	In Arena	3.3196	129	5.16	0	0	74	51.36	120.794	25.5689	3019.84	17	25
High	Trial     3	B4	0:03:00-0:04:00	In Arena	2.40432	102	4.08	0	0	48	53	117.785	36.5179	2944.62	20	19
High	Trial     3	B4	0:04:00-0:05:00	In Arena	1.36726	17	0.68	0	0	7	58.72	115.006	42.2373	2875.16	3	8
High	Trial     3	B4	0:05:00-0:06:00	In Arena	0.879901	0	0	0	0	1	60	115.22	50.5901	2880.5	0	3
High	Trial     3	B4	0:06:00-0:07:00	In Arena	0.941403	4	0.16	0	0	3	59.72	115.606	47.7847	2890.15	1	3
High	Trial     3	B4	0:07:00-0:08:00	In Arena	1.14793	3	0.12	0	0	5	59.68	115.914	42.7474	2897.84	3	6
High	Trial     3	B4	0:08:00-0:09:00	In Arena	1.30956	2	0.08	0	0	3	59.92	117.641	43.4589	2941.03	7	7
High	Trial     3	B4	0:09:00-0:10:00	In Arena	1.64211	32	1.28	0	0	16	57.88	114.625	38.4965	2865.62	8	10
High	Trial     3	B4	0:10:00-0:11:00	In Arena	4.0404	243	9.72	0	0	119	43.68	121.199	23.0595	3029.96	32	34
High	Trial     3	B4	0:11:00-0:12:00	In Arena	3.50969	193	7.72	0	0	98	46.92	121.458	27.4027	3036.46	24	24
High	Trial     3	B4	0:12:00-0:13:00	In Arena	2.55572	106	4.24	0	0	55	52.76	119.51	32.6308	2987.75	15	16
High	Trial     3	B4	0:13:00-0:14:00	In Arena	3.5299	182	7.28	0	0	78	47.28	117.213	34.0468	2930.32	21	31
High	Trial     3	B4	0:14:00-0:15:00	In Arena	3.47039	176	7.04	0	0	93	47.88	122.166	29.9002	3054.16	18	34
High	Trial     3	B4	0:15:00-0:16:00	In Arena	1.46583	58	2.4	2	0.12	19	55.6	111.574	59.4491	2789.36	4	6
High	Trial     3	B4	0:16:00-0:17:00	In Arena	0.669181	0	0	0	0	1	60	120.461	69.9255	3011.52	0	0
High	Trial     3	B4	0:17:00-0:18:00	In Arena	0.736218	0	0	0	0	1	60	119.506	58.3088	2987.64	0	0
High	Trial     3	B4	0:18:00-0:19:00	In Arena	0.824429	0	0	0	0	1	60	119.409	51.6264	2985.23	0	0
High	Trial     3	B4	0:19:00-0:20:00	In Arena	0.923378	0	0	0	0	1	60	120.147	47.0757	3003.68	0	0
High	Trial     3	B4	0:20:00-0:21:00	In Arena	1.43422	1	0.6	1	0.56	2	59.36	121.193	63.3305	3029.82	0	0
High	Trial     3	B4	0:21:00-0:22:00	In Arena	0.586294	0	0	0	0	1	60	121.389	65.7266	3034.74	0	0
High	Trial     3	B4	0:22:00-0:23:00	In Arena	1.03548	9	0.56	1	0.2	2	59.12	117.467	52.8619	2936.66	0	1
High	Trial     3	B4	0:23:00-0:24:00	In Arena	0.885938	0	0	0	0	1	60	121.158	47.3899	3028.95	0	0
High	Trial     3	B4	0:24:00-0:25:00	In Arena	0.822721	0	0	0	0	1	60	119.629	52.8601	2990.73	0	0
High	Trial     3	B4	0:25:00-0:26:00	In Arena	0.791149	0	0	0	0	1	60	121.454	55.5078	3036.34	0	0
High	Trial     3	B4	0:26:00-0:27:00	In Arena	0.809715	0	0	0	0	1	60	120.946	55.9047	3023.64	0	0
High	Trial     3	B4	0:27:00-0:28:00	In Arena	0.784749	0	0	0	0	1	60	121.357	53.3077	3033.92	0	0
High	Trial     3	B4	0:28:00-0:29:00	In Arena	0.800273	0	0	0	0	1	60	120.568	51.6952	3014.2	0	0
High	Trial     3	B4	0:29:00-0:30:00	In Arena	0.771131	0	0	0	0	1	60	119.236	57.5357	2980.91	0	0
High	Trial     3	B4	0:30:00-0:31:00	In Arena	0.759824	4	0.28	1	0.16	3	59.52	117.835	63.9697	2945.87	0	0
High	Trial     3	B4	0:31:00-0:32:00	In Arena	0.712691	0	0	0	0	1	60	119.481	57.7717	2987.03	0	0
High	Trial     3	B4	0:32:00-0:33:00	In Arena	0.784054	0	0	0	0	1	60	121.46	56.2963	3036.49	0	0
High	Trial     3	B4	0:33:00-0:34:00	In Arena	0.81938	0	0	0	0	2	59.88	118.851	53.3406	2971.27	0	0
High	Trial     3	B4	0:34:00-0:35:00	In Arena	0.952983	0	0	0	0	1	60	119.496	44.6746	2987.4	0	0
High	Trial     3	B4	0:35:00-0:36:00	In Arena	1.05068	3	0.4	1	0.28	1	0.12	117.432	55.9959	2935.81	0	0
High	Trial     3	B4	0:36:00-0:37:00	In Arena	0.768984	0	0	0	0	0	0	120.568	55.7607	3014.2	0	0
High	Trial     3	B4	0:37:00-0:38:00	In Arena	0.783995	0	0	0	0	0	0	120.068	55.3107	3001.71	0	0
High	Trial     3	B4	0:38:00-0:39:00	In Arena	0.797339	0	0	0	0	0	0	119.201	53.2605	2980.03	0	0
High	Trial     3	B4	0:39:00-0:40:00	In Arena	0.749352	0	0	0	0	0	0	118.399	60.688	2959.97	0	0
High	Trial     3	B4	0:40:00-0:41:00	In Arena	0.723073	0	0	0	0	0	0	120.051	60.677	3001.28	0	0
High	Trial     3	B4	0:41:00-0:42:00	In Arena	0.695748	0	0	0	0	0	0	120.49	62.7337	3012.26	0	0
High	Trial     3	B4	0:42:00-0:43:00	In Arena	0.64375	0	0	0	0	0	0	120.225	69.183	3005.63	0	0
High	Trial     3	B4	0:43:00-0:44:00	In Arena	0.662594	0	0	0	0	0	0	122.338	65.3717	3058.46	0	0
High	Trial     3	B4	0:44:00-0:45:00	In Arena	0.633297	0	0	0	0	0	0	120.33	68.2472	3008.25	0	0
High	Trial     3	C1	Start-0:01:00	In Arena	2.93969	96	3.84	0	0	34	52.84	115.146	23.5652	2878.65	14	32
High	Trial     3	C1	0:01:00-0:02:00	In Arena	3.25828	98	3.92	0	0	55	53.8	117.859	26.5313	2946.48	27	28
High	Trial     3	C1	0:02:00-0:03:00	In Arena	3.34418	99	3.96	0	0	45	53.24	117.369	22.9649	2934.21	8	28
High	Trial     3	C1	0:03:00-0:04:00	In Arena	2.32244	28	1.32	1	0.24	19	57.88	121	41.6619	3025	8	9
High	Trial     3	C1	0:04:00-0:05:00	In Arena	0.524878	0	0	0	0	1	60	120.655	78.2879	3016.38	0	0
High	Trial     3	C1	0:05:00-0:06:00	In Arena	1.2107	23	1.36	3	0.52	10	57.96	118.934	68.345	2973.35	3	2
High	Trial     3	C1	0:06:00-0:07:00	In Arena	2.32393	20	0.92	1	0.16	12	58.6	118.781	35.2273	2969.52	12	15
High	Trial     3	C1	0:07:00-0:08:00	In Arena	2.03093	25	1.16	1	0.2	16	58	110.051	38.2508	2751.27	10	6
High	Trial     3	C1	0:08:00-0:09:00	In Arena	0.73499	2	0.28	1	0.2	2	59.68	118.528	68.5061	2963.19	0	0
High	Trial     3	C1	0:09:00-0:10:00	In Arena	0.691812	4	0.16	0	0	2	59.72	117.772	66.1344	2944.3	1	0
High	Trial     3	C1	0:10:00-0:11:00	In Arena	0.562705	0	0	0	0	1	60	119.981	76.9854	2999.52	0	0
High	Trial     3	C1	0:11:00-0:12:00	In Arena	0.935079	8	0.32	0	0	2	59.4	117.853	61.4513	2946.31	1	3
High	Trial     3	C1	0:12:00-0:13:00	In Arena	1.35541	10	0.64	2	0.28	3	59.04	117.974	49.7735	2949.36	3	5
High	Trial     3	C1	0:13:00-0:14:00	In Arena	0.636187	0	0	0	0	1	60	119.182	65.4908	2979.55	0	0
High	Trial     3	C1	0:14:00-0:15:00	In Arena	0.64125	0	0	0	0	1	60	120.813	67.2113	3020.32	0	0
High	Trial     3	C1	0:15:00-0:16:00	In Arena	1.61047	38	2.12	5	0.76	10	56.52	112.12	53.6908	2803	0	3
High	Trial     3	C1	0:16:00-0:17:00	In Arena	0.741617	0	0	0	0	1	60	120.933	60.136	3023.32	0	0
High	Trial     3	C1	0:17:00-0:18:00	In Arena	0.915188	10	0.4	0	0	3	59.2	118.881	56.2343	2972.03	1	0
High	Trial     3	C1	0:18:00-0:19:00	In Arena	0.614764	0	0	0	0	1	60	119.731	68.6002	2993.28	0	0
High	Trial     3	C1	0:19:00-0:20:00	In Arena	0.689571	0	0	0	0	1	60	119.129	64.4067	2978.21	0	0
High	Trial     3	C1	0:20:00-0:21:00	In Arena	0.933238	7	0.56	2	0.32	3	59.2	118.613	65.9238	2965.33	0	0
High	Trial     3	C1	0:21:00-0:22:00	In Arena	0.714257	2	0.28	1	0.2	2	59.68	118.037	71.4118	2950.91	0	0
High	Trial     3	C1	0:22:00-0:23:00	In Arena	0.679441	3	0.12	0	0	2	59.76	118.885	62.9308	2972.12	0	1
High	Trial     3	C1	0:23:00-0:24:00	In Arena	0.955179	4	0.32	1	0.16	3	40.2	120.635	58.6494	3015.87	1	1
High	Trial     3	C1	0:24:00-0:25:00	In Arena	0.692306	3	0.2	1	0.08	1	57.12	121.284	69.0724	3032.1	1	1
High	Trial     3	C1	0:25:00-0:26:00	In Arena	0.567744	0	0	0	0	1	60	121.31	75.8603	3032.74	0	0
High	Trial     3	C1	0:26:00-0:27:00	In Arena	0.537182	0	0	0	0	1	60	119.014	71.8625	2975.35	0	0
High	Trial     3	C1	0:27:00-0:28:00	In Arena	0.837032	8	0.48	2	0.24	2	59.2	121.614	67.712	3040.36	1	0
High	Trial     3	C1	0:28:00-0:29:00	In Arena	0.629527	0	0	0	0	1	60	122.66	66.9106	3066.5	0	0
High	Trial     3	C1	0:29:00-0:30:00	In Arena	0.658895	0	0	0	0	1	60	122.23	63.4982	3055.76	0	0
High	Trial     3	C1	0:30:00-0:31:00	In Arena	0.79701	11	0.44	0	0	4	59.08	119.767	65.2493	2994.18	0	1
High	Trial     3	C1	0:31:00-0:32:00	In Arena	0.708325	0	0	0	0	1	60	120.377	59.8606	3009.43	0	0
High	Trial     3	C1	0:32:00-0:33:00	In Arena	0.714334	0	0	0	0	1	60	122.598	61.0968	3064.95	0	0
High	Trial     3	C1	0:33:00-0:34:00	In Arena	0.720924	0	0	0	0	2	59.88	119.387	57.9474	2984.68	0	0
High	Trial     3	C1	0:34:00-0:35:00	In Arena	0.788703	0	0	0	0	1	60	117.999	56.5853	2949.98	0	0
High	Trial     3	C1	0:35:00-0:36:00	In Arena	1.21577	0	0	0	0	1	60	119.398	36.5873	2984.95	0	0
High	Trial     3	C1	0:36:00-0:37:00	In Arena	1.17517	11	0.44	0	0	2	59.12	121.746	45.7367	3043.65	0	0
High	Trial     3	C1	0:37:00-0:38:00	In Arena	0.805067	9	0.36	1	0.04	3	59.32	117.085	62.5762	2927.11	0	1
High	Trial     3	C1	0:38:00-0:39:00	In Arena	0.520576	0	0	0	0	1	60	122.419	76.6691	3060.47	0	0
High	Trial     3	C1	0:39:00-0:40:00	In Arena	0.491595	0	0	0	0	1	60	125.847	80.8545	3146.18	0	0
High	Trial     3	C1	0:40:00-0:41:00	In Arena	0.968693	11	0.76	2	0.36	3	28.28	115.526	58.9101	2888.14	1	0
High	Trial     3	C1	0:41:00-0:42:00	In Arena	0.688699	0	0	0	0	0	0	121.115	57.9599	3027.87	0	0
High	Trial     3	C1	0:42:00-0:43:00	In Arena	0.683015	0	0	0	0	0	0	120.132	63.7377	3003.31	0	0
High	Trial     3	C1	0:43:00-0:44:00	In Arena	0.669302	0	0	0	0	0	0	120.246	61.6743	3006.16	0	0
High	Trial     3	C1	0:44:00-0:45:00	In Arena	0.665604	0	0	0	0	0	0	119.735	60.2889	2993.39	0	0
High	Trial     4	A4	Start-0:01:00	In Arena	1.18825	24	1	1	0.08	6	58	116.832	52.17	2920.8	1	0
High	Trial     4	A4	0:01:00-0:02:00	In Arena	0.821031	3	0.36	1	0.24	2	59.52	116.51	65.07	2912.75	1	0
High	Trial     4	A4	0:02:00-0:03:00	In Arena	0.594367	0	0	0	0	1	60	120.991	68.9213	3024.79	0	0
High	Trial     4	A4	0:03:00-0:04:00	In Arena	0.601579	0	0	0	0	1	60	121.92	66.9443	3047.99	0	0
High	Trial     4	A4	0:04:00-0:05:00	In Arena	1.07948	14	0.84	1	0.28	5	58.6	117.8	61.7035	2945.01	0	1
High	Trial     4	A4	0:05:00-0:06:00	In Arena	1.03126	0	0	0	0	1	60	121.338	49.6265	3033.46	1	2
High	Trial     4	A4	0:06:00-0:07:00	In Arena	0.58456	0	0	0	0	1	60	119.902	73.4532	2997.55	0	0
High	Trial     4	A4	0:07:00-0:08:00	In Arena	0.519831	0	0	0	0	1	60	122.502	78.2545	3062.55	0	0
High	Trial     4	A4	0:08:00-0:09:00	In Arena	0.493917	0	0	0	0	1	60	122.129	75.8901	3053.22	0	0
High	Trial     4	A4	0:09:00-0:10:00	In Arena	0.542511	0	0	0	0	1	60	123.149	69.8045	3078.71	0	0
High	Trial     4	A4	0:10:00-0:11:00	In Arena	0.574858	0	0	0	0	1	60	122.998	68.7424	3074.95	0	0
High	Trial     4	A4	0:11:00-0:12:00	In Arena	1.89954	26	2.04	5	1.12	6	56.96	113.361	53.3329	2834.02	0	1
High	Trial     4	A4	0:12:00-0:13:00	In Arena	1.66846	36	2	5	0.76	7	56.72	117.222	52.2385	2930.55	1	1
High	Trial     4	A4	0:13:00-0:14:00	In Arena	2.39323	20	1.64	6	1	5	34.64	114.828	40.9808	2870.7	2	2
High	Trial     4	A4	0:15:00-0:16:00	In Arena	10.2187	432	22.44	30	5.68	59	19.8	80.0017	10.4866	2000.04	9	12
High	Trial     4	A4	0:16:00-0:17:00	In Arena	8.2579	483	21.68	17	2.84	46	20.16	83.3323	10.7639	2083.31	5	10
High	Trial     4	A4	0:17:00-0:18:00	In Arena	8.57127	460	21.52	22	3.68	51	21.04	81.5587	11.0133	2038.97	5	11
High	Trial     4	A4	0:18:00-0:19:00	In Arena	5.71234	273	12.32	14	1.76	48	37.64	105.587	16.3787	2639.67	9	10
High	Trial     4	A4	0:19:00-0:20:00	In Arena	3.3868	125	5.96	6	1.04	19	49.52	118.727	24.6258	2968.16	4	2
High	Trial     4	A4	0:20:00-0:21:00	In Arena	4.08144	160	7.68	13	1.48	35	44.88	103.808	31.3882	2595.2	4	3
